#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
100,J.P. Crawford,SEA,147,637,12,70,59,5,11.80%,19.20%,0.117,0.284,0.239,0.334,0.356,0.308,103,-0.7,1.8,1.1,2.5
101,Konnor Griffin,PIT,113,490,12,70,58,24,6.30%,24.70%,0.136,0.331,0.26,0.324,0.397,0.316,100,0.9,0.8,7.5,2.5
102,Colson Montgomery,CHW,139,602,27,73,84,3,8.40%,29.70%,0.196,0.27,0.218,0.296,0.414,0.308,96,-0.8,-3.4,7.2,2.5
103,Alec Bohm,PHI,141,609,16,70,78,3,6.80%,15.50%,0.15,0.307,0.278,0.331,0.428,0.328,109,-1.1,5.4,-1.2,2.5
104,Royce Lewis,MIN,131,567,22,65,76,12,7.40%,21.00%,0.18,0.284,0.251,0.309,0.431,0.319,104,0.4,2.9,1.9,2.5
105,Yainer Diaz,HOU,128,509,19,58,68,1,4.30%,17.30%,0.173,0.297,0.272,0.306,0.445,0.322,107,-0.6,3.6,5.9,2.5
106,Jose Altuve,HOU,144,623,21,83,70,13,8.40%,17.30%,0.162,0.295,0.266,0.334,0.428,0.33,113,-0.5,8.7,-6.0,2.5
107,Lawrence Butler,ATH,136,588,22,77,75,19,8.80%,25.50%,0.184,0.3,0.246,0.314,0.43,0.323,104,1.3,4.1,-0.2,2.5
108,Brandon Nimmo,TEX,146,630,20,80,69,9,9.70%,21.90%,0.161,0.297,0.25,0.332,0.411,0.326,110,-0.1,7.5,-5.3,2.4
109,Jonathan Aranda,TBR,141,609,21,77,80,2,10.10%,25.50%,0.169,0.333,0.266,0.35,0.435,0.342,119,-2.5,11.1,-8.2,2.4
110,Matt McLain,CIN,144,623,19,78,68,18,9.70%,27.60%,0.156,0.305,0.235,0.318,0.391,0.312,94,1.1,-3.0,6.0,2.4
111,Max Muncy,LAD,105,455,21,60,62,3,15.20%,25.10%,0.218,0.25,0.22,0.347,0.438,0.342,120,-1.2,9.8,-1.3,2.4
