"last_name, first_name","player_id","year","player_age","pa","hit","double","home_run","strikeout","walk","k_percent","bb_percent","b_rbi","r_total_stolen_base","r_run","xba","xslg","woba","xwoba","avg_swing_speed","barrel_batted_rate","whiff_percent"
"Crawford, J.P.",641487,2023,28,638,142,35,19,125,94,19.6,14.7,"65","2","94",".257",".390",".359",".341","71.9",4.8,18.6
"Marte, Starling",516782,2023,34,341,78,7,5,69,16,20.2,4.7,"28","24","38",".260",".410",".278",".315","70.6",5.6,27.8
"Sabol, Blake",666165,2023,25,344,73,10,13,117,24,34,7,"44","4","36",".196",".373",".303",".281","71.6",11.2,35.6
"Garcia, Maikel",672580,2023,23,515,126,20,4,115,38,22.3,7.4,"50","23","59",".270",".397",".299",".320","69.8",3.9,19.5
"Stanton, Giancarlo",519317,2023,33,415,71,13,24,124,41,29.9,9.9,"60","0","43",".212",".470",".297",".326","81",15.7,34.1
"Devers, Rafael",646240,2023,26,656,157,34,33,126,62,19.2,9.5,"100","5","90",".276",".543",".359",".379","73.4",12.7,26.1
"Siri, Jose",642350,2023,27,364,75,13,25,130,20,35.7,5.5,"56","12","58",".209",".443",".319",".297","73.3",13.2,40.3
"Henderson, Gunnar",683002,2023,22,622,143,29,28,159,56,25.6,9,"82","10","100",".257",".479",".346",".347","75.4",11.4,26.4
"Yelich, Christian",592885,2023,31,632,153,34,19,140,78,22.2,12.3,"76","28","106",".272",".455",".353",".356","73.6",9.2,26.8
"Tatis Jr., Fernando",665487,2023,24,635,148,33,25,141,53,22.2,8.3,"78","29","91",".276",".513",".332",".364","73",11,30.5
"Call, Alex",669743,2023,28,439,75,14,8,78,53,17.8,12.1,"38","9","43",".208",".335",".280",".294","70.2",5.3,18.6
"Candelario, Jeimer",600869,2023,29,576,127,39,22,127,53,22,9.2,"70","8","77",".231",".407",".346",".318","69.3",7.9,24.2
"Swanson, Dansby",621020,2023,29,638,138,25,22,154,66,24.1,10.3,"80","9","81",".249",".461",".325",".344","71.5",10.9,28.7
"Joe, Connor",656582,2023,30,472,102,31,11,110,50,23.3,10.6,"42","3","63",".244",".406",".332",".328","73.8",8.2,23.6
"Murphy, Sean",669221,2023,28,438,93,21,21,98,49,22.4,11.2,"68","0","65",".267",".540",".366",".393","74.4",16.1,25.9
"Altuve, Jose",514888,2023,33,410,112,21,17,71,44,17.3,10.7,"51","14","76",".241",".423",".393",".332","70.5",8.3,18.7
"Semien, Marcus",543760,2023,32,753,185,40,29,110,72,14.6,9.6,"100","14","122",".258",".434",".354",".335","68.7",6.5,18
"Kiner-Falefa, Isiah",643396,2023,28,361,79,12,6,70,28,19.4,7.8,"37","14","39",".253",".352",".286",".296","67.5",3.1,19.6
"DeJong, Paul",657557,2023,29,400,77,13,14,121,21,30.3,5.3,"38","4","41",".216",".361",".266",".277","69.4",6.7,35.4
"Rogers, Jake",668670,2023,28,365,73,11,21,118,28,32.3,7.7,"49","1","47",".224",".448",".312",".319","70",12,31.7
"Pham, Tommy",502054,2023,35,481,109,27,16,106,47,22,9.8,"68","22","55",".278",".475",".332",".359","73.8",10.7,23.6
"Abrams, CJ",682928,2023,22,614,138,28,18,118,32,19.2,5.2,"64","47","83",".243",".402",".306",".304","71.5",6.9,22.5
"Ramírez, José",608070,2023,30,691,172,36,24,73,73,10.6,10.6,"80","28","87",".296",".485",".346",".360","70.5",7,15.6
"Springer, George",543807,2023,33,683,158,25,21,125,60,18.3,8.8,"72","20","87",".258",".421",".320",".330","72.7",7.7,22.3
"Hicks, Aaron",543305,2023,33,312,68,9,8,69,42,22.1,13.5,"36","6","44",".205",".304",".326",".282","66.9",4,25.6
"Chisholm Jr., Jazz",665862,2023,25,383,88,12,19,118,26,30.8,6.8,"51","22","50",".220",".433",".325",".307","72.9",12.2,36.2
"Freeman, Freddie",518692,2023,33,730,211,59,29,121,72,16.6,9.9,"102","23","131",".315",".567",".411",".406","70.5",11.1,20.4
"Straw, Myles",664702,2023,28,518,110,18,1,97,42,18.7,8.1,"29","20","52",".239",".302",".268",".273","66.1",0.5,14.1
"Turner, Trea",607208,2023,30,691,170,35,26,150,45,21.7,6.5,"76","30","102",".263",".453",".333",".331","72.4",8.4,29.6
"Duvall, Adam",594807,2023,34,353,79,24,21,110,22,31.2,6.2,"58","4","45",".207",".441",".347",".305","72.2",13,31
"Torres, Gleyber",650402,2023,26,672,163,28,25,98,67,14.6,10,"68","13","90",".280",".484",".346",".363","71.7",7.9,21.8
"Reynolds, Bryan",668804,2023,28,640,151,31,24,138,53,21.6,8.3,"84","12","85",".275",".493",".338",".359","70.2",11.1,28.2
"Conforto, Michael",624424,2023,30,470,97,14,15,106,53,22.6,11.3,"58","4","58",".241",".420",".315",".330","73",7.9,24.9
"Soler, Jorge",624585,2023,31,580,126,24,36,141,66,24.3,11.4,"75","1","77",".258",".539",".361",".375","75.8",15,27.6
"Burger, Jake",669394,2023,27,540,123,28,34,149,32,27.6,5.9,"80","1","71",".264",".517",".349",".359","76",16.7,34.1
"Sánchez, Jesús",660821,2023,25,402,91,23,14,107,38,26.6,9.5,"52","3","43",".261",".477",".334",".350","74.4",12.2,30.1
