"last_name, first_name","player_id","year","player_age","pa","hit","double","home_run","strikeout","walk","k_percent","bb_percent","b_rbi","r_total_stolen_base","r_run","xba","xslg","woba","xwoba","avg_swing_speed","barrel_batted_rate","whiff_percent"
"Gurriel Jr., Lourdes",666971,2024,30,553,143,22,18,101,29,18.3,5.2,"75","7","72",".265",".433",".327",".325","70.6",6.7,20.2
"DeJong, Paul",657557,2024,30,482,101,17,24,156,23,32.4,4.8,"56","2","54",".216",".402",".302",".293","72",10.2,34.9
"Sheets, Gavin",657757,2024,28,501,105,24,10,106,43,21.2,8.6,"45","2","35",".248",".387",".291",".313","72.7",5.7,23
"Albies, Ozzie",645277,2024,27,435,100,29,10,65,27,14.9,6.2,"53","8","52",".246",".404",".307",".308","69.1",6.2,20.5
"Perdomo, Geraldo",672695,2024,24,388,92,21,3,58,36,14.9,9.3,"37","9","61",".231",".326",".317",".287","66.9",3.1,12.2
"Isbel, Kyle",664728,2024,27,426,88,13,8,88,27,20.7,6.3,"42","11","62",".231",".333",".286",".283","70.7",3.9,19.3
"Hamilton, David",666152,2024,26,317,73,17,8,80,22,25.2,6.9,"28","33","47",".229",".357",".305",".285","68.9",5.6,25.6
"Ward, Taylor",621493,2024,30,663,144,26,25,163,63,24.6,9.5,"75","6","73",".246",".466",".325",".345","69.8",13,25.5
"Ramírez, José",608070,2024,31,682,173,39,39,82,54,12,7.9,"118","41","114",".256",".467",".364",".333","71.6",8.6,15.2
"Schanuel, Nolan",694384,2024,22,607,130,19,13,103,68,17,11.2,"54","10","62",".253",".361",".315",".322","65.2",3.5,14.4
"Soler, Jorge",624585,2024,32,574,119,34,21,141,68,24.6,11.8,"64","1","84",".242",".463",".340",".352","75.4",12.6,28.9
"Schuemann, Max",680474,2024,27,459,87,14,7,119,47,25.9,10.2,"34","14","55",".221",".350",".281",".300","68.3",5.6,28.5
"Rengifo, Luis",650859,2024,27,304,85,13,6,44,16,14.5,5.3,"30","24","41",".263",".359",".335",".300","69.7",2.5,22.3
"Brown, Seth",664913,2024,31,400,86,11,14,112,25,28,6.3,"44","4","32",".230",".398",".289",".298","73.3",8.4,29.1
"Kwan, Steven",680757,2024,26,540,140,16,14,51,53,9.4,9.8,"44","12","83",".283",".392",".349",".337","64.4",2.6,8.2
"Lindor, Francisco",596019,2024,30,689,169,39,33,127,56,18.4,8.1,"91","29","107",".278",".539",".363",".381","72.4",13.6,23.7
"Neto, Zach",687263,2024,23,602,135,34,23,140,39,23.3,6.5,"77","30","70",".233",".421",".330",".319","71",8.4,27.1
"Edwards, Xavier",669364,2024,24,303,87,12,1,52,33,17.2,10.9,"26","31","39",".252",".328",".359",".300","64.5",1.8,16.9
"Sosa, Lenyn",672820,2024,24,369,89,13,8,77,12,20.9,3.3,"35","3","28",".276",".432",".280",".321","71.7",6.1,19.8
"Massey, Michael",686681,2024,26,356,86,17,14,56,15,15.7,4.2,"45","1","45",".256",".429",".317",".315","70.9",7.1,17.9
"Duran, Jarren",680776,2024,27,735,191,48,21,160,54,21.8,7.3,"75","34","111",".267",".456",".357",".340","73.6",9.3,24.8
"Kiner-Falefa, Isiah",643396,2024,29,496,125,18,8,78,16,15.7,3.2,"43","11","53",".251",".354",".299",".289","67",2.3,14.8
"Pasquantino, Vinnie",686469,2024,26,554,130,30,19,71,40,12.8,7.2,"97","1","64",".264",".452",".325",".336","71.7",7.1,14.5
"Olson, Matt",621566,2024,30,685,148,37,29,170,71,24.8,10.4,"98","0","78",".242",".454",".339",".342","73.8",12.4,26.3
"Castro, Willi",650489,2024,27,635,138,31,12,150,51,23.6,8,"60","14","89",".242",".390",".317",".323","70.6",7,29
"Siani, Michael",672279,2024,24,334,68,7,2,92,21,27.5,6.3,"20","20","42",".204",".270",".257",".246","68.9",2.3,29.5
"Espinal, Santiago",669289,2024,29,391,88,12,9,54,24,13.8,6.1,"45","11","32",".258",".355",".285",".295","66.5",1.9,14.8
"Santana, Carlos",467793,2024,38,594,124,26,23,99,65,16.7,10.9,"71","4","63",".244",".424",".326",".333","71.8",7.3,23.3
"Bohm, Alec",664761,2024,27,606,155,44,15,86,40,14.2,6.6,"97","5","62",".283",".452",".335",".345","72.2",6.8,17.6
"Adames, Willy",642715,2024,28,688,153,33,32,173,74,25.1,10.8,"112","21","93",".240",".468",".342",".341","73.6",12,29.5
"Taylor, Tyrone",621438,2024,30,345,79,22,7,80,19,23.2,5.5,"35","11","47",".246",".400",".304",".305","70.5",7.1,22.2
"Fermin, Freddy",666023,2024,29,368,92,14,6,66,23,17.9,6.3,"36","2","40",".241",".336",".300",".281","70.8",3.2,23
"Candelario, Jeimer",600869,2024,30,463,96,23,20,114,27,24.6,5.8,"56","4","47",".220",".375",".304",".285","68.4",8.2,29.1
"France, Ty",664034,2024,29,535,112,24,13,114,38,21.3,7.1,"51","1","46",".225",".394",".296",".306","71",7.3,24.2
"Burger, Jake",669394,2024,28,579,134,23,29,150,31,25.9,5.4,"76","1","68",".253",".483",".325",".339","74.7",12.3,30.1
"Hernández, Enrique",571771,2024,32,393,83,16,12,77,27,19.6,6.9,"42","0","44",".230",".375",".285",".289","71.7",4.8,22.9
"Garcia, Maikel",672580,2024,24,626,133,27,7,103,42,16.5,6.7,"58","37","84",".259",".373",".270",".305","70.8",3.7,15.7
"Burleson, Alec",676475,2024,25,595,147,20,21,76,35,12.8,5.9,"78","9","71",".270",".444",".319",".333","71.2",6.5,19.2
"Bregman, Alex",608324,2024,30,634,151,30,26,86,44,13.6,6.9,"75","3","79",".255",".434",".331",".325","71.3",6.4,12.8
"Marte, Starling",516782,2024,35,370,90,13,7,81,27,21.9,7.3,"40","16","46",".285",".438",".313",".342","72.4",6.9,28.4
"Meyers, Jake",676694,2024,28,513,101,20,13,117,35,22.8,6.8,"61","11","51",".233",".390",".285",".306","68.6",6.8,27
"Bauers, Jake",641343,2024,28,346,60,9,12,118,39,34.1,11.3,"43","13","45",".200",".391",".294",".305","73.8",10.3,29.1
"Garver, Mitch",641598,2024,33,430,63,17,15,133,53,30.9,12.3,"51","0","37",".176",".335",".281",".284","71.2",8.4,30.8
"Wade Jr., LaMonte",664774,2024,30,401,86,16,8,90,62,22.4,15.5,"34","2","45",".253",".437",".337",".356","72.4",9.4,24.2
"Yoshida, Masataka",807799,2024,30,421,106,21,10,52,27,12.4,6.4,"56","2","45",".256",".408",".336",".327","70.9",5.5,14.6
"Young, Jacob",696285,2024,24,521,120,24,3,102,30,19.6,5.8,"36","33","75",".254",".323",".290",".291","68.2",1.6,19.3
"Vargas, Ildemaro",545121,2024,32,303,67,16,1,31,19,10.2,6.3,"30","9","21",".255",".326",".271",".286","69.6",1.2,12.6
"Arcia, Orlando",606115,2024,29,602,120,24,17,128,41,21.3,6.8,"46","2","50",".204",".332",".273",".266","70.9",5.3,26.6
"Ortiz, Joey",687401,2024,25,511,105,25,11,103,56,20.2,11,"60","11","58",".232",".347",".319",".307","73.4",4.6,17.1
"Hoskins, Rhys",656555,2024,31,517,96,14,26,149,53,28.8,10.3,"82","3","59",".201",".402",".313",".306","71.2",12.7,26.3
"Paredes, Isaac",670623,2024,25,641,129,25,19,105,76,16.4,11.9,"80","1","64",".221",".350",".327",".309","68.2",4.5,17.2
"Taveras, Leody",665750,2024,25,529,110,17,12,112,42,21.2,7.9,"44","23","59",".238",".378",".282",".299","71.3",5.9,26.2
"Bell, Josh",605137,2024,31,603,134,23,19,120,51,19.9,8.5,"71","0","62",".233",".402",".317",".312","70.4",7.6,26.8
"Pérez, Wenceel",672761,2024,24,425,94,16,9,92,32,21.6,7.5,"37","9","51",".240",".364",".299",".295","70.2",4.3,20.9
"Rojas, Johan",679032,2024,23,363,82,12,3,69,13,19,3.6,"32","25","47",".225",".304",".265",".258","71.3",2.5,22.7
"Lopez, Otto",672640,2024,25,434,109,23,6,75,25,17.3,5.8,"39","20","49",".272",".402",".302",".317","70.7",5.1,21.9
"Semien, Marcus",543760,2024,33,718,154,27,23,105,64,14.6,8.9,"74","8","101",".251",".406",".306",".320","68.3",6.6,20.2
"Cave, Jake",595909,2024,31,346,81,16,7,98,18,28.3,5.2,"37","5","42",".234",".362",".295",".281","69.5",5.2,28.2
"Merrill, Jackson",701538,2024,21,593,162,31,24,101,29,17,4.9,"90","16","77",".300",".547",".352",".375","72.2",11.3,20.5
"Buxton, Byron",621439,2024,30,388,99,27,18,99,20,25.5,5.2,"56","7","62",".260",".511",".366",".355","74.3",13.2,32.1
"Altuve, Jose",514888,2024,34,682,185,31,20,119,47,17.4,6.9,"65","22","94",".261",".406",".344",".319","69.4",6.5,22.1
"Santander, Anthony",623993,2024,29,665,140,25,44,129,58,19.4,8.7,"102","2","91",".225",".458",".345",".327","73.1",11.7,20
"Stott, Bryson",681082,2024,26,571,124,19,11,93,53,16.3,9.3,"57","32","65",".254",".369",".296",".311","68.2",3.6,17
"Melendez, MJ",669004,2024,25,451,85,23,17,113,35,25.1,7.8,"44","4","44",".237",".434",".292",".321","72.8",8.4,29.5
"Diaz, Yainer",673237,2024,25,619,175,29,16,107,24,17.3,3.9,"84","2","70",".296",".467",".329",".343","72.5",7.6,24
"Henderson, Gunnar",683002,2024,23,719,177,31,37,159,78,22.1,10.8,"92","21","118",".279",".499",".381",".375","76.3",11.2,24.4
"Moniak, Mickey",666160,2024,26,418,86,17,14,114,21,27.3,5,"49","8","48",".219",".387",".281",".286","73.1",9.3,30.6
"Butler, Lawrence",671732,2024,23,451,108,24,22,108,35,23.9,7.8,"57","18","63",".253",".473",".345",".341","74.2",11,26.9
"Gelof, Zack",680869,2024,24,547,105,20,17,188,38,34.4,6.9,"49","25","60",".198",".353",".276",".273","71.6",8.8,36.4
"Contreras, Willson",575929,2024,32,358,79,17,15,96,45,26.8,12.6,"36","4","48",".256",".461",".370",".367","75.9",11.2,35
"Hoerner, Nico",663538,2024,27,641,159,35,7,66,44,10.3,6.9,"48","31","86",".281",".359",".313",".318","68.2",1.2,11.9
"Taylor, Michael A.",572191,2024,33,300,52,9,5,105,23,35,7.7,"21","12","35",".200",".337",".242",".270","74",11.6,39.2
"d'Arnaud, Travis",518595,2024,35,341,73,16,15,89,24,26.1,7,"48","1","40",".233",".447",".319",".326","71.4",10.4,32.8
"McNeil, Jeff",643446,2024,32,472,101,26,12,68,35,14.4,7.4,"44","5","57",".233",".347",".304",".293","68.8",3.1,17.5
"Fortes, Nick",663743,2024,27,335,70,16,4,41,11,12.2,3.3,"29","0","28",".224",".291",".252",".246","71.3",1.4,13.2
"Ohtani, Shohei",660271,2024,29,731,197,38,54,162,81,22.2,11.1,"130","59","134",".310",".672",".431",".444","76.3",21.5,29.8
"Marte, Ketel",606466,2024,30,583,147,23,36,106,65,18.2,11.1,"95","7","93",".289",".545",".391",".394","73.7",12.3,21.3
"DeLuca, Jonny",676356,2024,25,362,72,12,6,77,24,21.3,6.6,"31","16","29",".229",".327",".269",".277","70.8",3.9,24
"Chapman, Matt",656305,2024,31,647,142,39,27,158,64,24.4,9.9,"78","15","98",".244",".460",".340",".342","76.6",12.6,23.5
"Kelenic, Jarred",672284,2024,24,449,95,18,15,133,32,29.6,7.1,"45","7","49",".238",".424",".294",".311","72.7",9.9,33.4
"Mullins, Cedric",656775,2024,29,499,104,16,18,98,41,19.6,8.2,"54","32","69",".224",".357",".310",".292","71",4.9,19.1
"García Jr., Luis",671277,2024,24,528,141,25,18,86,27,16.3,5.1,"70","22","58",".275",".461",".328",".335","71.7",8,21.3
"Lewis, Royce",668904,2024,25,325,68,16,16,74,28,22.8,8.6,"47","0","40",".238",".435",".317",".317","73.3",11.2,27
"Bader, Harrison",664056,2024,30,437,95,19,12,95,21,21.7,4.8,"51","17","57",".241",".387",".285",".299","71.2",6.4,24.5
"Wells, Austin",669224,2024,24,414,81,18,13,87,47,21,11.4,"55","1","42",".242",".439",".315",".343","72.4",9.1,27.3
"Raley, Luke",670042,2024,29,455,98,19,22,135,27,29.7,5.9,"58","11","58",".220",".433",".339",".321","75",11,34.5
"Winn, Masyn",691026,2024,22,637,157,32,15,109,41,17.1,6.4,"57","11","85",".253",".363",".315",".296","70.2",3.7,19
